TIME,OPCODE,ACK/NACK,REASON
2023-08-23 16:05:57.173,0xFF,TX,ACK
2023-08-23 16:05:57.804,0xFF,TX,ACK
2023-08-23 16:05:58.179,0xFF,TX,ACK
2023-08-23 16:05:58.584,0xFF,TX,ACK
2023-08-23 16:05:58.946,0xFF,TX,ACK
2023-08-23 16:05:59.455,0xFF,TX,ACK
2023-08-23 16:05:59.981,0xFF,TX,ACK
2023-08-23 16:06:00.535,0xFF,TX,ACK
2023-08-23 16:06:01.121,0xFF,TX,ACK
2023-08-23 16:06:01.436,0xFF,TX,ACK
2023-08-23 16:06:01.796,0xFF,TX,ACK
2023-08-23 16:06:02.351,0xFF,TX,ACK
2023-08-23 16:06:02.906,0xFF,TX,ACK
2023-08-23 16:06:03.387,0xFF,TX,ACK
2023-08-23 16:06:03.702,0xFF,TX,ACK
2023-08-23 16:06:03.942,0xFF,TX,ACK
2023-08-23 16:06:04.513,0xFF,TX,ACK
2023-08-23 16:06:04.800,0xFF,TX,ACK
2023-08-23 16:06:05.219,0xFF,TX,ACK
2023-08-23 16:06:05.746,0xFF,TX,ACK
2023-08-23 16:06:06.331,0xFF,TX,ACK
2023-08-23 16:06:06.677,0xFF,TX,ACK
2023-08-23 16:06:07.263,0xFF,TX,ACK
2023-08-23 16:06:07.999,0xFF,TX,ACK
2023-08-23 16:06:08.629,0xFF,TX,ACK
2023-08-23 16:06:09.034,0xFF,TX,ACK
2023-08-23 16:06:09.635,0xFF,TX,ACK
2023-08-23 16:06:10.145,0xFF,TX,ACK
2023-08-23 16:06:10.595,0xFF,TX,ACK
2023-08-23 16:06:11.242,0xFF,TX,ACK
2023-08-23 16:06:11.647,0xFF,TX,ACK
2023-08-23 16:06:12.083,0xFF,TX,ACK
2023-08-23 16:06:12.698,0xFF,TX,ACK
2023-08-23 16:06:12.999,0xFF,TX,ACK
2023-08-23 16:06:13.616,0xFF,TX,ACK
2023-08-23 16:06:14.111,0xFF,TX,ACK
2023-08-23 16:06:14.547,0xFF,TX,ACK
2023-08-23 16:06:15.057,0xFF,TX,ACK
2023-08-23 16:06:15.598,0xFF,TX,ACK
2023-08-23 16:06:15.928,0xFF,TX,ACK
2023-08-23 16:06:16.560,0xFF,TX,ACK
2023-08-23 16:06:17.280,0xFF,TX,ACK
2023-08-23 16:06:17.776,0xFF,TX,ACK
2023-08-23 16:06:18.347,0xFF,TX,ACK
2023-08-23 16:06:18.887,0xFF,TX,ACK
2023-08-23 16:06:19.443,0xFF,TX,ACK
2023-08-23 16:06:19.968,0xFF,TX,ACK
2023-08-23 16:06:20.600,0xFF,TX,ACK
2023-08-23 16:06:21.081,0xFF,TX,ACK
2023-08-23 16:06:21.622,0xFF,TX,ACK
2023-08-23 16:06:21.968,0xFF,TX,ACK
