TIME,OPCODE,ACK/NACK,REASON
2023-08-24 10:25:29.531,0xFF,TX,ACK
2023-08-24 10:25:35.032,0x16,TX,NACK,Not Ready Error
2023-08-24 10:25:40.397,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:26:03.986,0x04,TX,NACK,Not Ready Error
2023-08-24 10:26:06.237,0x16,TX,NACK,Not Ready Error
2023-08-24 10:26:10.230,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:26:30.934,0x04,TX,NACK,Not Ready Error
2023-08-24 10:26:35.454,0x16,TX,NACK,Not Ready Error
2023-08-24 10:26:40.172,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:27:03.544,0x04,TX,NACK,Not Ready Error
2023-08-24 10:27:05.600,0x16,TX,NACK,Not Ready Error
2023-08-24 10:27:10.328,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:27:32.923,0x04,TX,NACK,Not Ready Error
2023-08-24 10:27:35.658,0x16,TX,NACK,Not Ready Error
2023-08-24 10:27:40.372,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:28:03.595,0x04,TX,NACK,Not Ready Error
2023-08-24 10:28:05.667,0x16,TX,NACK,Not Ready Error
2023-08-24 10:28:10.564,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:28:33.618,0x04,TX,NACK,Not Ready Error
2023-08-24 10:28:35.615,0x16,TX,NACK,Not Ready Error
2023-08-24 10:28:40.180,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:29:03.074,0x04,TX,NACK,Not Ready Error
2023-08-24 10:29:05.461,0x16,TX,NACK,Not Ready Error
2023-08-24 10:29:10.295,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:29:33.138,0x04,TX,NACK,Not Ready Error
2023-08-24 10:29:35.497,0x16,TX,NACK,Not Ready Error
2023-08-24 10:29:40.169,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:30:02.746,0x04,TX,NACK,Not Ready Error
2023-08-24 10:30:05.524,0x16,TX,NACK,Not Ready Error
2023-08-24 10:30:10.259,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:30:32.473,0x04,TX,NACK,Not Ready Error
2023-08-24 10:30:35.524,0x16,TX,NACK,Not Ready Error
2023-08-24 10:30:40.125,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:31:02.221,0x04,TX,NACK,Not Ready Error
2023-08-24 10:31:05.602,0x16,TX,NACK,Not Ready Error
2023-08-24 10:31:10.408,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:31:32.789,0x04,TX,ACK
2023-08-24 10:31:35.596,0x16,TX,NACK,Not Ready Error
2023-08-24 10:31:40.553,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:32:01.785,0x19,TX
2023-08-24 10:32:03.678,0x04,TX,ACK
2023-08-24 10:32:04.520,0x17,TX,NACK,Not Ready Error
2023-08-24 10:32:05.539,0x16,TX,ACK
2023-08-24 10:32:10.178,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:32:33.629,0x04,TX,ACK
2023-08-24 10:32:35.431,0x16,TX,ACK
2023-08-24 10:32:36.843,0x19,TX
2023-08-24 10:32:39.365,0x17,TX,NACK,Not Ready Error
2023-08-24 10:32:40.341,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:33:01.158,0x19,TX
2023-08-24 10:33:01.219,0x04,TX,ACK
2023-08-24 10:33:03.084,0x17,TX,NACK,Not Ready Error
2023-08-24 10:33:05.213,0x16,TX,ACK
2023-08-24 10:33:10.266,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:33:32.778,0x04,TX,ACK
2023-08-24 10:33:35.540,0x16,TX,ACK
2023-08-24 10:33:40.345,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:34:02.377,0x19,TX
2023-08-24 10:34:04.195,0x04,TX,ACK
2023-08-24 10:34:05.099,0x17,TX,NACK,Not Ready Error
2023-08-24 10:34:05.805,0x16,TX,ACK
2023-08-24 10:34:10.418,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:34:34.146,0x19,TX
2023-08-24 10:34:36.189,0x04,TX,ACK
2023-08-24 10:34:36.520,0x16,TX,ACK
2023-08-24 10:34:37.152,0x17,TX,NACK,Not Ready Error
2023-08-24 10:34:40.203,0x1E,TX,NACK,Not Ready Error
2023-08-24 10:35:03.917,0x04,TX,ACK
2023-08-24 10:35:05.448,0x16,TX,ACK
2023-08-24 10:35:07.578,0x19,TX
